Accuracy: 
1	0
2	0
3	1
4	1
5	1
1	1
2	0
3	1
4	1
5	0
1	1
2	0
3	0
4	1
5	1
1	1
2	0
3	0
4	-1
5	-1
1	1
2	0
3	-1
4	1
5	-1
1	1
2	0
3	0
4	1
5	1
1	1
2	0
3	0
4	1
5	1
1	1
2	0
3	0
4	1
5	0
1	1
2	0
3	0
4	1
5	1
1	0
2	0
3	0
4	1
5	1
1	0
2	0
3	0
4	-1
5	-1
1	1
2	0
3	0
4	1
5	0
1	1
2	0
3	0
4	1
5	1
1	1
2	0
3	0
4	1
5	0
1	0
2	0
3	0
4	0
5	0
1	1
2	0
3	0
4	1
5	0
1	1
2	0
3	0
4	1
5	0
1	1
2	0
3	0
4	0
5	1
1	1
2	0
3	0
4	1
5	1
1	0
2	0
3	0
4	1
5	1
1	0
2	0
3	0
4	1
5	0
1	-1
2	0
3	1
4	0
5	0
1	0
2	0
3	0
4	0
5	1
1	0
2	0
3	1
4	1
5	0
1	1
2	0
3	0
4	0
5	0
1	0
2	0
3	1
4	1
5	0
1	0
2	0
3	0
4	1
5	1
1	0
2	0
3	1
4	1
5	1
1	1
2	0
3	1
4	1
5	0
1	-1
2	0
3	1
4	1
5	1
1	0
2	0
3	0
4	1
5	1
1	0
2	0
3	0
4	1
5	-1
ErrorPercent: 
1	0.010754
2	0.013445
3	0.068283
4	0.145607
5	0.028792
1	0.108949
2	-0.022719
3	0.089282
4	0.319155
5	0.015757
1	0.125279
2	0.013800
3	0.034376
4	0.353016
5	0.052094
1	0.088423
2	0.017991
3	0.027846
4	-0.119345
5	-0.674417
1	0.302093
2	0.014703
3	-0.342228
4	0.245017
5	-0.538148
1	0.108887
2	0.027630
3	0.002388
4	0.078735
5	0.033579
1	0.059495
2	0.024312
3	0.039048
4	0.134590
5	0.062330
1	0.089800
2	0.035341
3	0.020489
4	0.201372
5	-0.000534
1	0.101003
2	0.009290
3	0.049748
4	0.183757
5	0.023887
1	0.002012
2	0.014749
3	0.011923
4	0.125909
5	0.026795
1	0.024905
2	0.010981
3	0.045228
4	-0.142968
5	-0.593129
1	0.178122
2	0.015481
3	0.021628
4	0.161203
5	-0.003502
1	0.090758
2	0.017204
3	0.013444
4	0.100731
5	0.026460
1	0.266107
2	0.034190
3	0.021486
4	0.066339
5	0.016389
1	0.041468
2	0.031176
3	0.016889
4	-0.034920
5	0.005313
1	0.103067
2	0.027194
3	0.003324
4	0.348925
5	0.000332
1	0.141543
2	0.013968
3	0.003634
4	0.374608
5	0.001074
1	0.104857
2	0.036868
3	0.024726
4	0.023225
5	0.023242
1	0.068316
2	0.026048
3	0.025284
4	0.146170
5	0.025594
1	0.010754
2	0.009490
3	0.015577
4	0.080305
5	0.031269
1	0.051849
2	0.050219
3	0.044121
4	0.085706
5	0.019444
1	-0.209172
2	-0.002177
3	0.087350
4	0.048364
5	-0.007830
1	0.042252
2	-0.007284
3	0.052838
4	0.023484
5	0.030682
1	0.037766
2	0.009309
3	0.081860
4	0.105441
5	0.005137
1	0.068469
2	0.036668
3	0.051069
4	0.044193
5	0.020609
1	0.023381
2	0.019773
3	0.108744
4	0.062102
5	0.011888
1	0.050934
2	0.015934
3	0.053292
4	0.118941
5	0.043489
1	0.049093
2	0.016634
3	0.079881
4	0.179873
5	0.035846
1	0.074852
2	0.030902
3	0.075078
4	0.095364
5	0.011717
1	-0.229092
2	0.011142
3	0.059495
4	0.083024
5	0.032812
1	0.033812
2	0.045832
3	0.010578
4	0.101084
5	0.031870
1	0.049765
2	0.022337
3	-0.011564
4	0.069459
5	-0.690915
